user,XRD_Volume,swaps
rdx1qsp9nqq3mt5x3hl8jsttssserws9hj40hjaul6fas3qckg0enprugjcewxlte,12167.800661141949070104,113
rdx1qspr55v2vxqlugp9626tyzhzqwmjyyydlaz2unf47llurghfxh7lqvsv60f7q,12145.271080252493827494,37
rdx1qspjq78yswqwgxl2f4qrkn85z39xs0ye59h96m4w4u3w4hhl4fma3wgzxceef,12055.576334320505398929,40
rdx1qspx9ne5tfknhrvtnuzvu9rhh58h4x4d9wqtzcykuqu6gmye39ceaycy9a0tr,11933.873588322783488958,68
rdx1qspnyy0m3e3h0628rjpz4f9peapdg7nphzmw5e2emzc4jdfehrxgwjcgyqvpp,11777.921472140560754107,24
rdx1qsp6k957e00axhlg772a30u0kjd82vgq7c0vaqw2dzslh2lrj7nxfusm742vu,11644.958926301611271797,35
rdx1qspxu9tnacswkc4xv9k9g9r0kxacqu403aksld68s2xerjh09ed8q2cnkxjzs,11465.731511142341552081,18
rdx1qspkv9uxud2rwq3ghe7m4nv7kpk4ed9zvp3lt45z427h5x6xmz676pc6fyshy,11391.408157921682573288,52
rdx1qsp8wj9wd8qt378glgtqcwl66upz595k0zwp9t084jf6qt6kqjrlngcvymfkd,11294.000000000000000000,27
rdx1qspeygzk6vjmhh87zmwrcfg8n79a3urvmldkmsq3a62nmdva0xsm5sqedevf9,11197.427999999999344640,23
rdx1qspztjjjymrxt2lsh9savrn66l8hl7cwtntwwgw7j486yr6l5n25f2s4e5ycs,11112.000000000000000000,24
rdx1qsp3kh9yxq7xnf7skvtekecegueamjqkf9mywj5sq59yals0p5rs2tgjqjfue,11095.039152388964060720,59
rdx1qspemef980me7w7u6nzhehzhut0h7t796a40v82w0zpk7pknaj4lmesujm2ye,11031.735153723408534098,52
rdx1qspgxc3flauyxnlz39yk626drxhzeht3rhajfuw40jcawvdkwp8zlzcn9n96w,11011.696795600308349568,75
rdx1qspx4zfd3gsqpdjzc42t84sngp6l27v3mdmhf2y5w4rezc7n2xhp46qz8amkz,11000.000000000000000000,10
rdx1qspy59d0ade7k8qj65sftm4gtjd59te6ck0xhr3aazpd764jspz45aq4v9qhr,10977.270740780704427885,27
rdx1qspknyachak4n9th2ttvjgw7k72a9qtedl55758rms29w98syt7vf3q6nd0pj,10925.236623524602978527,14
rdx1qspck06zqmax5ek5fak7j8pvjkumlmc9u7wcn5zcmpyflyafla2j2hctjunh4,10800.000000000000000000,26
rdx1qspm9a4w2vc946axkq34yhhn47ll2n9a29kqzka3mlkxcu0z45twtpsa76rk6,10791.075214075847381002,33
rdx1qspnft9acyvsh8qsqumants9jhplap5n8s3gzw0m5qrzh374ymszekgjel88y,10772.457518796895174683,68
rdx1qspwz90l7aqune8pnx7t49m8qtjmnw5aeu2wkdn9qj9h5mm3gx7l3gc94nqg0,10770.423979955261937388,61
rdx1qspamdj44mrxfsk7pwxluhkrvhxk8ct9e4vnc6tmpuvyzsgywxw8flq0cu4tu,10633.986996132874053725,43
rdx1qspuc9er9wum4u2qz92z596ussxdk9c7urkzdjypwdzr5kt9v66zf6ger5t5y,10595.000000000000000000,25
rdx1qsp4duz6e928zcjkhfttu02zx4eu6ptelyls5mvgvduxgur76ylj06q6xfcp5,10563.432099322965719987,36
rdx1qsp0g2plykkp7dczj2x4s3rd9jrev2fztqth4lvugyj5kkwknywy8zgvtmyjx,10542.375391401188391845,35
rdx1qspmardna0222c3smgxkts94xyrq047qlh4txnn7cv5wf936y7a0zcch8np0m,10444.678545743766720024,27
rdx1qsp8rdtw8k9x8sml4elj3sf4gnw3cdrps4krlca3tuqnmawns43pkpcvl7vvx,10347.199381726036341275,37
rdx1qspqg8zrvkhlajrzpvnw454lqu6dzdml4ph94678nu5d4fh07w7j9ycxahsng,10325.334793200792282885,29
rdx1qspy9dpqyfpx9a5rsvd08jpzr3m8d04a4rersvf36pdzeelehug8e8q04s4ql,10305.232234475706321683,33
rdx1qsp60h32ccst4vgzzp2r36szcr7vpzv344wg3h70lpalkyqkt4zhptcfzalne,10249.158535626837693435,34
rdx1qsplmn4alnvlm097dtpc8ferm3uw8jfum05gg5jdph2t9wehnrhj6xqhedgts,10216.020580777685743751,29
rdx1qspymvylm3tdlr3h724mjrescfa3qjfhsg3pw4axg9x6encu83g9yqgcx9wdr,10156.743047756030148074,22
rdx1qspatxcrx43vl0j36awgex0wnetgph02a5u67ar70t92gz44twf0huc8yyzm6,10155.372911393737219811,23
rdx1qspt3hw8j6aaasplmzy3k280zh9xg3r4xf6u09nsz8675jngsyhs5vchy2daw,10065.160309520325145938,57
rdx1qspd6kyh0gawkm2rcf3p0yjc9f5s6nzdtsrj7d98vkzv4ll6lg76s0sm2j2zh,9946.177959026864804620,22
rdx1qspk3mznu8y00qyfy8af3szuw4t97mmysre05ztkrzxutw3pwjg0ewcj7jz2w,9860.915109938428680733,36
rdx1qsp2lffulvdjaurydv3kn308c8mynuvl2fwcltrfqcuu6y9guqpznxqtrhkkk,9765.962575663884368367,32
rdx1qspg3p9nhaadwdfg5snp0kd8cjp70mpp579lqc6jyrpl52s7n8cpl5gaw3d9t,9727.398688445449659025,23
rdx1qspn0pgu8q5wcfggelkkh7lvjfknvw9fgr7ddqsxh5j3whfc9p6cf7gnxfjrx,9664.000000000000000000,21
rdx1qspj5c3086qn4g5f7esrqy2j2uytuvnenazs6aw792230ptdadu2ukg9ffnrq,9349.344453268371984947,12
rdx1qspdnq8gn3p6pjefdn2v7v222qxljn3k4zf6rpmscuk5c6jluh8hwssc62nrl,9345.756107789888444003,70
rdx1qspvyl538sq9pgq6r739dr7tagd90p4whh0nj9g23ktgp0rpz27h3fchldx5a,9298.000000000000000000,25
rdx1qsp24l0t4andgyv5c4xal5swnr82hsfwgzf03m8rm2x6x2xmhk2p8hclm4gyx,9288.752440106892320453,28
rdx1qspkaywj44l4nqqwr92es28wf9jp6ug8heel52ksj4yzdqdmesfhjuc7g77w3,9178.829407619768475710,50
rdx1qspcjz2fr7gy20v86cnv5j08suk99z4zk8t9qsea6mk8l708w0wg68qwzx0gz,9167.294477026810672306,59
rdx1qspav4wxjeuxh6teq0a69avxrej77ql3jpxrsfashdll8kazc0ng0wscfptp5,9164.430968344580700412,46
rdx1qspu39cvrxn7zt67286uky7gxheqaqvmp8zk06gmkr85llxtd2j8e0sj20gs7,9100.000000000000000000,19
rdx1qsp2729c0g363p9rg05zlz7wmel6q344mmv45e9dvepe8lfwueammvg2ne7k0,9033.140771627604344012,40
rdx1qspsj5mrnf67av3t3jh9l9tvmt9c8ccnc7m2dv5l3k8h8892ql6sxpq5lelkx,9000.000000000000000000,16
