address,total_staked
rdx1qsp5v343rldjlygguavywq7n56yp46zeudfk7jfv9vsu7n4fk55axsgem949d,2189066.52053
rdx1qspn0uchu33w550zur3pampmalc2nnfqfvgzjcn7uwj5y2xa9vdhx4cqfgruu,2155798.10404
rdx1qsp3ks5kwqqqqrsae0u72wglaew2rc2flgfkqrjxl43c75ar5fkf0kqw65fzf,2143812.13395
rdx1qsp4050d6vlksmqspthdq4m7wjnvaw2d8sh84arwvslw6mtkstyycesgfq6yf,2131825.86076
rdx1qspkmdffpdwx9d5ahnqhlf7h4rc0kmg7ulcxed8zfeusvwhhttp6unsp5vuzf,2104848.33133
rdx1qsp7lmxm6ykcfstsg3wa92z6l9jsqnxgwcche2m8ms86erugw7yd7sg3d65rf,2090193.91162
rdx1qsp66e7uv43p7v8ms2xc9dal8rzdsdty8dk0r8uas047c3hqycxsc8gehlygs,2090090.45038
rdx1qsprxghjjkk5yvav27e7l0tu04pjlpcrnh7y82rhdgwgkfxcp8fhvks60s6sn,2089930.01549
rdx1qspuh9n4j7e0pttw6za9r0gg6csk048smvctafsqmvwfals0n8ehvnc9c4ap4,2080156.66009
rdx1qspl9fs4gsf97u5epasw8hlhlclswn0z9kdkxx4hjt034y9kvtztp4gfw7yv7,2076798.53319
rdx1qspz2cf5nrxtwpt5rn9vdfnxjdkz4psdlc8nuftpkjnlrdlqk6zkumgrjt3ay,2074132.44555
rdx1qspsxyhju07spewugswmcd0putvw0ypd94c2fttcgal6lhaljjp98rqc0jqk3,2050972.1299
rdx1qsp72y6k9jv2r69u2vzkgmk96l35j3u0q3zt57d5z3je89hazfxrzeq2r8cp3,2011698.63755
rdx1qspv58jp99m50tt07gxlfupm5j4nvmhmhq7zj75rpyq30cnk8qe7ujq5m0zn5,2010872.13094
rdx1qsplu3qe6xv5ef8wa0p8ks5rxgupku3mg2srm2qv9ldkyv72amu8lmqsw7qeq,2003346.22335
rdx1qspt5muxx7dlpk3jfad4l9ncdputfs0l5gp6ezl3ls4f6wvxdk0kmcg2ddnf9,2003034.21159
rdx1qspjc6z4kyv4t29gngn7g59cynx350wudaf02ax3cgscl2zdhc3k6lg905vac,2003012.72035
rdx1qsp99zyct8xp8vypwshrpwfhgqvh9k203jdsckl36n8lkk5y5ulsvsshzgcjh,1979421.86762
rdx1qsph8jaqpqkudw36y4lj6t8zwpglu9pe4vk8yzyf8esw9emf05m8ahsxha4xn,1973433.70517
rdx1qsp70hulwqy0klwuaps5quc5pm0saspv0aw28mzeaqjyfrfsf3jysps4q6dgx,1943563.25851
rdx1qsp9hdpt88lmn702jtt746fhpmfammghlmtpqy4mlmtxkvef6faf96smxxwtt,1941897.38647
rdx1qsp2c099u59p5uh6ykkmczsgc0a5xag6en4gcve9t9tgsw4u4wa4fnqv64w9s,1931987.9753
rdx1qsph8hy602ntkp0ennu8mvemsq05lcfndutvvalgdhanhpqtt9tdvmctlllc8,1928989.49455
rdx1qsp3jj3wymyqzhzzhvhtyh38qze47pl424dr48r5garmlecrejlr5ecz3xtgw,1928989.49455
rdx1qsphnx87nu8qkxsj9nunytd8cf3f3cueaa7hzau5pd2vx9nsn4dmcagwlgrfy,1919514.54751
rdx1qspr35k4ppl3lqsdkfxru933g59fzr5w4w8da7hkskg0s3xtf4jcwpqcqamy9,1918764.84955
rdx1qspys5vu8kdsq4uxm8w8e9euf2kg3vl9apcs8r6738lh4p3e2eupvsqln7hlu,1914233.2131
rdx1qspnyf609mhj6v6sdhavmzkhfjnfaj7n2q92qj09uq8wg6c675dfz3g80akfd,1913849.49513
rdx1qsplrvdjtfzkahp9d8stldankkre294xg0tyl97z4wls4y2x5g85yac3tnxjv,1913579.79225
rdx1qsppl7hzzwzyrf0qqclskcmj54053gxvpm8yv3z5fsfx3keq40ngkegrlhsc8,1910762.74455
rdx1qspnr4jejldq80r4alsvkkv82u0z0hgtl9fgtfjuepq9n6n9rcwplashcf4ze,1909288.41985
rdx1qspa8gt9j4fg8kczsgdkuvrygxt2g4jhx4a560gg2ry0eqntc89w8fc9nedpx,1903825.64612
rdx1qspzea6j97v4j9wgc8gymnsehqpu4ge3kvxw25lh80w8nzdvs2qkqaqrhsg3y,1896446.44739
rdx1qspe7385u3gzf5djvg6ngu24c48sq42jy9xc57dfq8hzdq0s5kaqdusk5x95k,1879094.22525
rdx1qspfq7g5fey7s44dyg8m36j595hkp3lr5cxsj2ryg2rhs5xgfax30rshne20h,1859332.7012
rdx1qspcxc86uu326l89n46sgas7xa5x6lnzeuhq83u3erutzsyyff4u6lsvehxu2,1858537.33942
